method,tag,n,mean_latency_s,p50_latency_s,p95_latency_s,mean_reward,mean_quality,mean_cost
epsilon,code,31,15.878955697194831,16.445731133018853,23.044475313508883,-15.075329890743218,0.8548387096774194,51.21290322580645
epsilon,explain,473,13.47335729974196,15.435491869982798,24.742711987596703,-13.021830661264158,0.5076532769556026,56.126638477801265
epsilon,tests,3,16.287428747668553,19.4360563220107,20.383549968211447,-15.673962081001884,0.6666666666666666,53.199999999999996
ppo,code,30,19.423489944269143,20.97600694699213,24.76859273170412,-7.527804972134572,0.9133333333333333,49.69666666666667
ppo,explain,468,17.786324568502206,21.594192177493824,27.266044902797148,-7.465966557755376,0.6176495726495727,58.46410256410257
ppo,tests,3,15.275608748333374,16.40744392600027,21.167994334604007,-7.73513770750002,0.0,48.666666666666664
softmax,code,32,8.686553946531262,5.599398810999901,23.031869132899875,-3.442108223265631,0.39999999999999997,49.415625
softmax,explain,474,13.381916782297472,14.76025331350047,22.9632096942498,-5.408636872161395,0.5673206751054853,67.99008438818565
softmax,tests,4,14.075953943000059,14.697996463999516,22.009667754499787,-6.530826971500029,0.25,58.925
ucb,code,32,14.734231217906256,16.148817991500437,20.675531484901875,-5.228596858953128,0.89375,47.928124999999994
ucb,explain,474,12.425538395808047,14.876964635997865,21.473245204652265,-5.07532362828377,0.49544303797468353,50.58101265822784
ucb,tests,4,11.963772083999174,11.684085920998768,19.477050657901234,-5.001019375332921,0.41666666666666663,30.4
thompson,code,32,11.8072546524686,8.425448673999199,22.92346200215088,-4.5666273262343005,0.575,50.25
thompson,explain,474,14.74848316874913,16.302200284499122,24.776685666748016,-6.102081246821823,0.5564978902953586,59.542194092827
thompson,tests,4,14.667028984000353,16.334751334499742,21.681295752848747,-6.799264492000177,0.25,45.375
moucb,code,31,17.271846404290514,20.376455264999095,23.629011478501525,-16.385365759129222,0.9387096774193548,52.229032258064514
moucb,explain,473,13.421130397023234,15.506122377000793,22.992637030799962,-12.97440777545875,0.5049260042283298,58.203382663847776
moucb,tests,3,16.224808269666635,20.605387801999314,20.841919178000534,-15.932774936333303,0.3333333333333333,41.3
